id,email,currency,amount
0,Ladonna.Giuseppina.100711@optiopay.com,EUR,-1914
1,Ladonna.Micki.111817@optiopay.com,EUR,-1669
2,Lise.Wilton.88928@optiopay.com,USD,1011
3,Cecilia.Yoshik.145595@optiopay.com,EUR,-1247
4,Wilton.Catalina.135093@optiopay.com,EUR,-490
5,Donnell.Ara.256@optiopay.com,EUR,2216
6,Micki.Brendan.43257@optiopay.com,EUR,1557
7,Giselle.Ara.71900@optiopay.com,USD,1022
8,Ladonna.Catalina.119886@optiopay.com,EUR,914
9,Micki.Wilton.68571@optiopay.com,USD,-1077
10,Sacha.Giuseppina.84928@optiopay.com,USD,2263
11,Giuseppina.Roxann.17594@optiopay.com,USD,781
12,Yoshik.Sacha.95733@optiopay.com,EUR,-1485
13,Catalina.Giselle.1@optiopay.com,EUR,688
14,Cecilia.Lise.4096@optiopay.com,EUR,-901
15,Ladonna.Stephan.129033@optiopay.com,EUR,2738
16,Yoshik.Wilton.44350@optiopay.com,EUR,-118
17,Ara.Giselle.16019@optiopay.com,USD,-948
18,Stephan.Emelina.114794@optiopay.com,EUR,2484
19,Giuseppina.Lise.124991@optiopay.com,EUR,1857
20,Wilton.Emelina.166741@optiopay.com,USD,-562
21,Wilton.Catalina.135093@optiopay.com,EUR,24
22,Quinton.Roxann.118426@optiopay.com,USD,562
23,Emelina.Giuseppina.137580@optiopay.com,EUR,621
24,Giselle.Elizbeth.188506@optiopay.com,EUR,-1627
25,Emelina.Roxann.90537@optiopay.com,EUR,868
26,Wilton.Ladonna.158346@optiopay.com,EUR,-1301
27,Cristi.Lise.125572@optiopay.com,EUR,-691
28,Cecilia.Cecilia.170058@optiopay.com,EUR,-1863
29,Brendan.Yoshik.50625@optiopay.com,EUR,-1441
30,Ladonna.Stephan.129033@optiopay.com,EUR,-120
31,Roxann.Giselle.28350@optiopay.com,USD,-317
32,Micki.Stephan.3596@optiopay.com,USD,2132
33,Yoshik.Micki.11387@optiopay.com,EUR,-832
34,Ladonna.Elizbeth.9423@optiopay.com,EUR,-799
35,Ladonna.Quinton.31001@optiopay.com,EUR,1338
36,Quinton.Lise.137811@optiopay.com,EUR,-540
